t(s); x(m); y(m); z(m)
5.76;1.173098641;-2.043281856;0.990461426
5.77;1.181914117;-2.01976921;0.992882605
5.78;1.190487866;-1.996042459;0.994951017
5.79;1.198817876;-1.972105004;0.996665928
5.8;1.206902177;-1.94796027;0.998026728
5.81;1.214738838;-1.923611715;0.999032935
5.82;1.222325971;-1.899062822;0.999684189
5.83;1.229661729;-1.874317104;0.999980261
5.84;1.236744308;-1.8493781;0.999921044
5.85;1.243571944;-1.824249375;0.99950656
5.86;1.250142919;-1.798934521;0.998736957
5.87;1.256455555;-1.773437153;0.997612506
5.88;1.262508218;-1.747760914;0.996133609
5.89;1.268299319;-1.721909469;0.99430079
5.9;1.27382731;-1.695886509;0.992114701
5.91;1.279090689;-1.669695744;0.989576119
